text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Dấu hiệu lão hoá sớm của gen z trũng tầng mặt giữa #bskhonghanhnguyen #beautytok ,2025-06-13 20:36:16,13/06/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7515427317683653377,https://www.tiktok.com/@drkhonghanhnguyen/video/7515427291002883335,28,752,60,36600,217,56,"bskhonghanhnguyen, beautytok",False,False,drkhonghanhnguyen,True,False,False,0,2,12,0,0,0,1,0,0
Kem chống nắng vượt mức SPF 50 và PA 4+#bskhonghanhnguyen #beautytok #skincare #casmara #kemchongnangcasmara,2025-06-10 20:36:40,10/06/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7514314169651464977,https://www.tiktok.com/@drkhonghanhnguyen/video/7514314135962782994,109,517,22,27400,104,46,"bskhonghanhnguyen, beautytok, skincare, casmara, kemchongnangcasmara",False,False,drkhonghanhnguyen,True,False,False,0,5,10,0,0,0,1,0,0
Bao nhiêu tuổi không quan trọng nhưng hệ điều hành luôn 18 tuổi #bskhonghanhnguyen #beautytok ,2025-06-09 21:40:12,09/06/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - Việt lyrics,7272193812264061698,https://www.tiktok.com/@drkhonghanhnguyen/video/7513959417130323208,8,1204,18,23100,45,10,"bskhonghanhnguyen, beautytok",False,False,drkhonghanhnguyen,True,False,False,0,2,13,0,0,0,1,0,0
Kiểm tra nước tẩy trang quốc dân có thực sự quốc dân #bskhonghanhnguyen #beautytok #skincare  #taytranglorealparis #lorealparis #lorealparisskin #lorealparispartner,2025-06-08 20:17:31,08/06/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7513567197566880529,https://www.tiktok.com/@drkhonghanhnguyen/video/7513567030595849490,91,112,5,6906,9,2,"bskhonghanhnguyen, beautytok, skincare, taytranglorealparis, lorealparis, lorealparisskin, lorealparispartner",False,False,drkhonghanhnguyen,True,False,False,0,7,12,0,0,0,1,0,1
Xử lý u hạt sau meso #bskhonghanhnguyen #beautytok #skincare ,2025-06-07 20:22:16,07/06/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7513197199145241345,https://www.tiktok.com/@drkhonghanhnguyen/video/7513197161761328402,65,246,11,14100,33,8,"bskhonghanhnguyen, beautytok, skincare",False,False,drkhonghanhnguyen,True,False,False,0,3,6,0,0,0,1,0,1
"Chấm điểm các dòng meso bác sĩ đã dùng, đều đặn 3 tháng 1 lần #bskhonghanhnguyen #beautytok #skincare ",2025-06-05 20:28:37,05/06/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7512456674448902929,https://www.tiktok.com/@drkhonghanhnguyen/video/7512456634623479047,93,838,78,35300,306,83,"bskhonghanhnguyen, beautytok, skincare",False,False,drkhonghanhnguyen,True,False,False,0,3,15,0,0,0,1,0,0
"Khi mình trẻ nhiệt huyết sục sôi, sức khoẻ có, thời gian có chỉ tiếc là không thể đi nhiều nơi hơn để học hỏi hơn thôi #bskhonghanhnguyen #beautytok ",2025-06-04 20:21:30,04/06/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,No Reason,7179600429985073153,https://www.tiktok.com/@drkhonghanhnguyen/video/7512083712662637832,0,774,15,23600,29,18,"bskhonghanhnguyen, beautytok",True,False,drkhonghanhnguyen,True,False,False,0,2,27,0,0,0,1,0,0
Mẹo làm đẹp miễn phí của bác sĩ #bskhonghanhnguyen #beautytok #skincare ,2025-06-03 20:47:13,03/06/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7511719284125534993,https://www.tiktok.com/@drkhonghanhnguyen/video/7511719259014302984,75,345,12,12100,30,20,"bskhonghanhnguyen, beautytok, skincare",False,False,drkhonghanhnguyen,True,False,False,0,3,8,0,0,0,1,0,0
Nám má sau sinh và nám má nội tiết xử lý như nào #bskhonghanhnguyen #beautytok #skincare #larocheposaypartner #MelaB3,2025-06-02 20:03:18,02/06/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - Chuyện nhà Sữa,7380625653319879440,https://www.tiktok.com/@drkhonghanhnguyen/video/7511336854021623058,126,339,12,14300,68,20,"bskhonghanhnguyen, beautytok, skincare, larocheposaypartner, melab3",False,False,drkhonghanhnguyen,True,False,False,0,5,13,0,0,0,1,0,0
Top kem chống nắng đạt tiêu chuẩn âu- mỹ #bskhonghanhnguyen #beautytok #skincare ,2025-05-31 20:47:19,31/05/2025,True,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7510606063046773520,https://www.tiktok.com/@drkhonghanhnguyen/video/7510606022663343378,65,14600,1055,420000,4841,404,"bskhonghanhnguyen, beautytok, skincare",False,False,drkhonghanhnguyen,True,False,False,0,3,9,0,0,0,1,0,1
Kem chống nắng kiềm dầu phổ rộng cho mùa du lịch #bskhonghanhnguyen #beautytok #skincare #kemchongnang #kemchongnangchodadaumun #garniervn #garnierpartner,2025-05-28 21:17:36,28/05/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7509500602779503377,https://www.tiktok.com/@drkhonghanhnguyen/video/7509500575684414727,87,410,14,19700,66,24,"bskhonghanhnguyen, beautytok, skincare, kemchongnang, kemchongnangchodadaumun, garniervn, garnierpartner",False,False,drkhonghanhnguyen,True,False,False,0,7,11,0,0,0,1,0,0
Làm sạch da body đúng cách để hạn chế lên mụn #bskhonghanhnguyen #beautytok #skincare #Lifebuoy #LifebuoyVietnam #LifebuoyCàPhê #HợpTácCùngUnilever ,2025-05-26 20:08:06,26/05/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7508740685638585105,https://www.tiktok.com/@drkhonghanhnguyen/video/7508740490196569362,98,9100,110,84200,44,85,"bskhonghanhnguyen, beautytok, skincare, lifebuoy, lifebuoyvietnam, lifebuoycàphê, hợptáccùngunilever",False,False,drkhonghanhnguyen,True,False,False,0,7,11,0,0,0,1,0,0
Da dầu mụn có nên dùng kẽm #bskhonghanhnguyen #beautytok #skincare #ekseption #kẽễmkseption ,2025-05-25 21:16:55,25/05/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7508387181947538193,https://www.tiktok.com/@drkhonghanhnguyen/video/7508387144818330887,110,740,49,34000,220,48,"bskhonghanhnguyen, beautytok, skincare, ekseption, kẽễmkseption",False,False,drkhonghanhnguyen,True,False,False,0,5,7,0,0,0,1,0,1
Top kem chống nắng da dầu mỏng nhẹ finish đẹp mùa hè #bskhonghanhnguyen #beautytok #skincare ,2025-05-19 21:08:24,19/05/2025,True,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7506158467267250961,https://www.tiktok.com/@drkhonghanhnguyen/video/7506158438490180871,113,3844,197,171500,1191,174,"bskhonghanhnguyen, beautytok, skincare",False,False,drkhonghanhnguyen,True,False,True,0,3,12,0,0,0,1,0,0
Mất bao lâu để da dưỡng sáng và mờ thâm #bskhonghanhnguyen #beautytok #skincare #ohuivietnam #extremewhite #melatoning,2025-05-16 21:11:19,16/05/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - Chuyện nhà Sữa,7380625653319879440,https://www.tiktok.com/@drkhonghanhnguyen/video/7505045931696426248,66,212,7,15800,18,14,"bskhonghanhnguyen, beautytok, skincare, ohuivietnam, extremewhite, melatoning",False,False,drkhonghanhnguyen,True,False,False,0,6,10,0,0,0,1,0,0
U30 dưỡng da và chống lão hoá cần chú ý điều gì #bskhonghanhnguyen #beautytok #duongam #chonglaohoa #revitalift #lorealparis #lorealparisskin #lorealparispartner,2025-05-15 20:42:16,15/05/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7504667388798454529,https://www.tiktok.com/@drkhonghanhnguyen/video/7504667361140673800,83,2109,135,138000,527,270,"bskhonghanhnguyen, beautytok, duongam, chonglaohoa, revitalift, lorealparis, lorealparisskin, lorealparispartner",False,False,drkhonghanhnguyen,True,False,False,0,8,12,0,0,0,1,0,0
Top những điều thay đổi để da căng bóng khoẻ mạnh #bskhonghanhnguyen #beautytok #skincare ,2025-05-11 20:50:20,11/05/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7503185257756117777,https://www.tiktok.com/@drkhonghanhnguyen/video/7503185098230058247,102,839,25,33500,189,32,"bskhonghanhnguyen, beautytok, skincare",False,False,drkhonghanhnguyen,True,False,False,0,3,11,0,0,0,1,0,1
"Quan điểm thẩm mỹ da đã không còn như trước, thời đại của treatment giờ đã khác #bskhonghanhnguyen #beautytok ",2025-05-10 20:53:49,10/05/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7502815114329803536,https://www.tiktok.com/@drkhonghanhnguyen/video/7502814911853071634,48,203,19,13700,11,9,"bskhonghanhnguyen, beautytok",False,False,drkhonghanhnguyen,True,False,False,0,2,17,0,0,0,1,0,1
Xếp hạng skincare cùng bác sĩ #bskhonghanhnguyen #beautytok ,2025-05-08 20:02:43,08/05/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7502059604432472833,https://www.tiktok.com/@drkhonghanhnguyen/video/7502059581221113106,64,185,3,14500,23,13,"bskhonghanhnguyen, beautytok",False,False,drkhonghanhnguyen,True,False,False,0,2,6,0,0,0,1,0,0
"Da nhạy cảm đừng quên bổ sung thành phần này #bskhonghanhnguyen #beautytok #1trieuviennangceramide #duongam120gio #ATOBARRIER365CREAM
#AESTURAVIETNAM",2025-05-06 20:25:56,06/05/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7501323550894082817,https://www.tiktok.com/@drkhonghanhnguyen/video/7501323372668800264,78,247,15,16300,62,13,"bskhonghanhnguyen, beautytok, 1trieuviennangceramide, duongam120gio, atobarrier365cream, aesturavietnam",False,False,drkhonghanhnguyen,True,False,False,0,6,10,0,0,0,1,0,0
Serum cho da dầu mùa hè #bskhonghanhnguyen#beautytok#skincare,2025-05-02 20:24:48,02/05/2025,True,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7499838808855268113,https://www.tiktok.com/@drkhonghanhnguyen/video/7499838753280724231,162,1213,52,62800,475,54,"bskhonghanhnguyen, beautytok, skincare",False,False,drkhonghanhnguyen,True,False,False,0,3,6,0,0,0,1,0,0
Chuẩn bị gì khi đi concert quốc gia kỷ niệm 50 năm thống nhất đất nước #bskhonghanhnguyen #beautytok ,2025-04-27 21:43:09,27/04/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7498003547181845264,https://www.tiktok.com/@drkhonghanhnguyen/video/7498003516225670408,77,154,1,12600,3,10,"bskhonghanhnguyen, beautytok",False,False,drkhonghanhnguyen,True,False,True,0,2,16,0,0,0,1,0,1
Nâng cơ táo có thật không #bskhonghanhnguyen #beautytok #thammy ,2025-04-24 20:40:34,24/04/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7496874166306523921,https://www.tiktok.com/@drkhonghanhnguyen/video/7496874137407835400,90,321,20,22400,46,14,"bskhonghanhnguyen, beautytok, thammy",False,False,drkhonghanhnguyen,True,False,False,0,3,6,0,0,0,1,0,0
Tạm biệt quầng thâm và nếp nhăn mắt với Rejuran #bskhonghanhnguyen #beautytok #Rejuran #DNAcahoi #trehoavungmat,2025-04-21 20:21:31,21/04/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,France・Paris・Street corner・Musette Waltz(1310247),7146318360585472001,https://www.tiktok.com/@drkhonghanhnguyen/video/7495755965749431570,72,2928,391,116700,1081,166,"bskhonghanhnguyen, beautytok, rejuran, dnacahoi, trehoavungmat",False,False,drkhonghanhnguyen,True,False,False,0,5,10,0,0,0,1,0,0
Xử lý sạm nám đúng cách #bskhonghanhnguyen #beautytok #larocheposay #larocheposayvn #MelaB3 #laảocheposaypartner ,2025-04-19 20:43:26,19/04/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7495019475948194577,https://www.tiktok.com/@drkhonghanhnguyen/video/7495019444087901448,97,803,75,64300,158,87,"bskhonghanhnguyen, beautytok, larocheposay, larocheposayvn, melab3, laảocheposaypartner",False,False,drkhonghanhnguyen,True,False,False,0,6,6,0,0,0,1,0,1
Đi học cách chăm sóc da dầu mùa hè cùng bác sĩ #bskhonghanhnguyen #beautytok #garniervn #garniersummercamp,2025-04-18 20:17:05,18/04/2025,True,https://www.tiktok.com/@drkhonghanhnguyen,Famous piano songs for comedy and cooking programs,6817665502509271041,https://www.tiktok.com/@drkhonghanhnguyen/video/7494641571045051666,75,222,5,41300,6,10,"bskhonghanhnguyen, beautytok, garniervn, garniersummercamp",False,False,drkhonghanhnguyen,True,False,False,0,4,12,0,0,0,1,0,0
Đi sinh nhật 50 năm cùng bác sĩ nhé #bskhonghanhnguyen #beautytok #larocheposay #larocheposayvn #LRP50 #larocheposaypartner,2025-04-17 19:22:49,17/04/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - Chuyện nhà Sữa,7380625653319879440,https://www.tiktok.com/@drkhonghanhnguyen/video/7494256500462865672,90,301,10,35400,11,8,"bskhonghanhnguyen, beautytok, larocheposay, larocheposayvn, lrp50, larocheposaypartner",False,False,drkhonghanhnguyen,True,False,False,0,6,9,0,0,0,1,0,0
Trẻ hoá không dùng filler với bột chỉ tăng sinh collagen pdlla #bskhonghanhnguyen #beautytok ,2025-04-16 21:40:47,16/04/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - Thế Thắng 🎧,7393577756192197392,https://www.tiktok.com/@drkhonghanhnguyen/video/7493920977177480466,75,622,29,31000,87,28,"bskhonghanhnguyen, beautytok",False,False,drkhonghanhnguyen,True,False,False,0,2,12,0,0,0,1,0,0
Cứ nỗ lực hết mình rồi sẽ đến lúc được ghi nhận. Hoàn thành bài báo cáo tại Bệnh viện Da liễu trung ương và diễn giả tại sự kiện 50 năm La Roche-Posáy.  Và thật tuyệt khi thấy hình ảnh của mình trên màn hình lớn tại phố đi bộ Nguyễn Huệ !  #bskhonghanhnguyen #beautytok ,2025-04-13 21:23:25,13/04/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7492803264942377729,https://www.tiktok.com/@drkhonghanhnguyen/video/7492803239943916818,22,1742,29,48000,50,31,"bskhonghanhnguyen, beautytok",False,False,drkhonghanhnguyen,True,False,True,0,2,54,0,0,0,1,0,1
Kem chống nắng cho da dầu  #bskhonghanhnguyen #beautytok  #skincare #kemchongnang #kemchongnangchodadaumun #garniervn,2025-04-12 20:28:32,12/04/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7492418082158168848,https://www.tiktok.com/@drkhonghanhnguyen/video/7492418009709956359,111,280,15,19200,69,12,"bskhonghanhnguyen, beautytok, skincare, kemchongnang, kemchongnangchodadaumun, garniervn",False,False,drkhonghanhnguyen,True,False,False,0,6,6,0,0,0,1,0,1
Giải quyết mụn đầu đen và sợi bã nhờn vùng mũi #bskhonghanhnguyen #beautytok ,2025-04-10 20:08:55,10/04/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7491670819187165969,https://www.tiktok.com/@drkhonghanhnguyen/video/7491670779260701959,123,3466,326,114200,2152,91,"bskhonghanhnguyen, beautytok",False,False,drkhonghanhnguyen,True,False,False,0,2,11,0,0,0,1,0,0
"Trả lời @Shop Toanngoc Bí quyết trẻ hoá da DEJ của bác sĩ, đúng là đáng đồng tiền bát gạo #bskhonghanhnguyen #beautytok ",2025-04-08 20:47:09,08/04/2025,True,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7490938504240302849,https://www.tiktok.com/@drkhonghanhnguyen/video/7490938470123212039,120,743,25,725000,121,18,", bskhonghanhnguyen, beautytok",False,False,drkhonghanhnguyen,True,False,False,0,2,20,0,0,0,1,0,0
Khi còn là sinh viên y 4 đã từng gửi mail đến hội nghị hỏi làm sao được tài trợ tham dự hội nghị và bây giờ bác sĩ đã có câu trả lời #bskhonghanhnguyen #beautytok #amwc ,2025-04-04 20:08:10,04/04/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,original sound,7479256487919897390,https://www.tiktok.com/@drkhonghanhnguyen/video/7489444080091450629,11,720,9,33900,28,7,"bskhonghanhnguyen, beautytok, amwc",False,False,drkhonghanhnguyen,True,False,False,0,3,34,0,0,0,1,0,0
Khám phá thẩm mỹ của giới siêu giàu Monaco tại AMWC #bskhonghanhnguyen #beautytok ,2025-04-02 20:26:53,02/04/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7488706741543537463,https://www.tiktok.com/@drkhonghanhnguyen/video/7488706731514645766,79,751,27,28600,40,9,"bskhonghanhnguyen, beautytok",False,False,drkhonghanhnguyen,True,False,False,0,2,11,0,0,0,1,0,0
"Chính là cảm giác tự hào, cô bác sĩ nhỏ bé từ  Việt Nam 🇻🇳 đến Monaco 🇲🇨  tham dự hội nghị AMWC thẩm mỹ và chống lão hoá y khoa lớn nhất thế giới, hành trình học tập là hành trình đẹp nhất #bskhonghanhnguyen #BeautyTok ",2025-03-30 19:28:44,30/03/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - INOVA MUSIC,7467532716867635985,https://www.tiktok.com/@drkhonghanhnguyen/video/7487578482520722743,10,3933,52,128000,126,51,"bskhonghanhnguyen, beautytok",False,False,drkhonghanhnguyen,True,False,True,2,2,42,0,0,0,1,0,1
"Ngôi làng Iseltwald - Thuỵ Sĩ, nơi quay Crash landing on you, đẹp như một câu chuyện cổ tích vậy  #bskhonghanhnguyen #BeautyTok ",2025-03-27 21:11:23,27/03/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - ~UwU_Cat😿💋~(-ピンクの猫-),7367325134438353665,https://www.tiktok.com/@drkhonghanhnguyen/video/7486491700681051410,16,19400,310,397500,1063,146,"bskhonghanhnguyen, beautytok",False,False,drkhonghanhnguyen,True,False,False,0,2,20,0,0,0,1,0,0
Hành trình tại Paris của bác sĩ Nguyên cùng La Roche Posay #larocheposay#larocheposayvn#larocheposay50years#LRP50#Effaclar#bskhonghanhnguyen,2025-03-26 20:24:24,26/03/2025,True,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7486108531922324240,https://www.tiktok.com/@drkhonghanhnguyen/video/7486108505137483016,89,5797,73,356600,140,38,"larocheposay, larocheposayvn, larocheposay50years, lrp50, effaclar, bskhonghanhnguyen",False,False,drkhonghanhnguyen,True,False,False,0,6,12,0,0,0,1,0,0
"Trải nghiệm đạp xe tại Paris ngắm tháp Eiffel,  dính mưa một chút cũng rất lãng mạn  #bskhonghanhnguyen #beautytok",2025-03-24 22:11:45,24/03/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7485394021972478737,https://www.tiktok.com/@drkhonghanhnguyen/video/7485393982562897170,25,836,9,37000,23,4,"bskhonghanhnguyen, beautytok",False,False,drkhonghanhnguyen,True,False,False,0,2,17,0,0,0,0,1,0
Trung bình 1 quý Bác sĩ chi bao tiền cho việc làm đẹp #bskhonghanhnguyen#beautytok#goclamdep,2025-03-23 21:57:08,23/03/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7485019174339709713,https://www.tiktok.com/@drkhonghanhnguyen/video/7485019143561809170,25,1602,242,79000,328,48,"bskhonghanhnguyen, beautytok, goclamdep",False,False,drkhonghanhnguyen,True,False,False,0,3,13,0,0,0,1,0,1
